date,demographic,product,sales_amount,profit_margin,comment,cluster,cluster_text_aug
2018-12-16,Seniors,Cherry DR Pepper,3.63,0.154,Great value for money.,1,1
2022-08-27,Teens,DR Pepper Classic,2.94,0.183,Perfect for parties.,2,2
2022-06-03,Middle-aged,Cherry DR Pepper,3.58,0.151,"Loved the taste, will buy again.",1,1
2024-11-18,Middle-aged,DR Pepper Classic,2.83,0.177,Perfect for parties.,1,1
2023-07-02,Middle-aged,Diet DR Pepper,3.65,0.2,"Loved the taste, will buy again.",3,1
2023-04-17,Teens,DR Pepper Zero Sugar,2.66,0.134,Packaging was damaged.,2,3
2022-10-18,Young adults,DR Pepper Classic,3.45,0.228,Not satisfied with carbonation.,1,1
2021-01-09,Young adults,Cherry DR Pepper,4.29,0.185,Not satisfied with carbonation.,1,1
2019-03-25,Young adults,DR Pepper Classic,3.9,0.181,Perfect for parties.,1,1
2021-01-29,Middle-aged,DR Pepper Classic,3.69,0.172,"Loved the taste, will buy again.",1,1
2021-10-24,Teens,Cherry DR Pepper,3.3,0.117,Too sweet for me.,2,2
2022-12-24,Middle-aged,Diet DR Pepper,3.44,0.203,Great value for money.,3,1
2022-08-11,Young adults,DR Pepper Classic,3.1,0.178,"Loved the taste, will buy again.",1,1
2023-01-30,Teens,Cherry DR Pepper,3.95,0.113,Great value for money.,2,2
2020-02-04,Young adults,DR Pepper Classic,2.85,0.187,Prefer sugar-free.,1,1
2021-07-12,Teens,DR Pepper Classic,4.1,0.152,Too sweet for me.,2,2
2024-02-28,Young adults,DR Pepper Classic,3.6,0.171,Enjoyed with lunch.,1,1
2021-02-15,Young adults,DR Pepper Zero Sugar,2.99,0.216,"Loved the taste, will buy again.",0,0
2021-02-20,Young adults,DR Pepper Classic,3.7,0.18,Not satisfied with carbonation.,1,1
2020-11-14,Seniors,DR Pepper Classic,3.44,0.163,Perfect for parties.,1,1
2024-08-13,Young adults,Diet DR Pepper,3.23,0.214,Bought for family gathering.,3,1
2019-01-20,Middle-aged,DR Pepper Classic,4.15,0.195,Perfect for parties.,1,1
2022-05-14,Middle-aged,DR Pepper Classic,4.03,0.188,Perfect for parties.,1,1
2023-05-10,Teens,DR Pepper Zero Sugar,3.36,0.115,Bought for family gathering.,2,3
2024-05-10,Seniors,DR Pepper Classic,3.63,0.172,Great value for money.,1,1
2024-07-10,Seniors,DR Pepper Classic,3.34,0.198,Perfect for parties.,1,1
2019-06-18,Young adults,DR Pepper Zero Sugar,3.54,0.167,Enjoyed with lunch.,0,0
2024-07-19,Young adults,DR Pepper Zero Sugar,2.54,0.14,Too sweet for me.,0,0
2021-03-08,Middle-aged,Cherry DR Pepper,4.59,0.23,"Loved the taste, will buy again.",1,1
2018-04-17,Young adults,DR Pepper Classic,3.86,0.212,Bought for family gathering.,1,1
2020-07-10,Middle-aged,Cherry DR Pepper,4.29,0.218,Okay but not my favorite.,1,1
2024-07-21,Teens,DR Pepper Zero Sugar,3.23,0.153,Perfect for parties.,2,3
2019-12-11,Young adults,DR Pepper Zero Sugar,2.94,0.193,Enjoyed with lunch.,0,0
2020-09-19,Teens,DR Pepper Classic,3.97,0.103,Perfect for parties.,2,2
2019-03-23,Young adults,DR Pepper Zero Sugar,2.3,0.163,Great value for money.,0,0
2024-11-14,Middle-aged,DR Pepper Zero Sugar,2.71,0.22,Perfect for parties.,0,3
2020-12-08,Young adults,Cherry DR Pepper,3.6,0.19,Perfect for parties.,1,1
2018-12-05,Young adults,Cherry DR Pepper,3.01,0.207,Great value for money.,1,1
2018-01-23,Young adults,DR Pepper Zero Sugar,3.32,0.226,Packaging was damaged.,0,0
2020-12-03,Teens,DR Pepper Zero Sugar,3.63,0.113,Packaging was damaged.,2,3
2022-11-30,Middle-aged,Cherry DR Pepper,2.85,0.215,Enjoyed with lunch.,1,1
2019-03-13,Young adults,DR Pepper Classic,3.29,0.172,Packaging was damaged.,1,1
2020-06-27,Seniors,DR Pepper Classic,3.42,0.157,Okay but not my favorite.,1,1
2020-12-28,Young adults,Cherry DR Pepper,3.86,0.254,"Loved the taste, will buy again.",1,1
2019-08-17,Young adults,Diet DR Pepper,3.63,0.133,Too sweet for me.,3,1
2020-09-23,Seniors,DR Pepper Classic,3.36,0.165,"Loved the taste, will buy again.",1,1
2018-10-04,Teens,Diet DR Pepper,3.67,0.143,Not satisfied with carbonation.,3,2
2019-05-07,Young adults,DR Pepper Classic,3.54,0.181,Too sweet for me.,1,1
2018-03-24,Young adults,DR Pepper Classic,3.2,0.121,Prefer sugar-free.,1,1
2023-11-20,Young adults,DR Pepper Zero Sugar,3.12,0.151,Not satisfied with carbonation.,0,0
2021-06-03,Young adults,Cherry DR Pepper,3.07,0.181,Perfect for parties.,1,1
2019-04-13,Young adults,DR Pepper Zero Sugar,2.87,0.138,"Loved the taste, will buy again.",0,0
2021-03-10,Seniors,DR Pepper Classic,3.41,0.199,Enjoyed with lunch.,1,1
2020-09-24,Middle-aged,DR Pepper Classic,3.2,0.217,Great value for money.,1,1
2024-07-07,Young adults,Cherry DR Pepper,4.97,0.132,"Loved the taste, will buy again.",1,1
2020-08-10,Young adults,Cherry DR Pepper,4.35,0.173,Not satisfied with carbonation.,1,1
2021-07-16,Middle-aged,DR Pepper Classic,3.6,0.211,"Loved the taste, will buy again.",1,1
2021-09-29,Young adults,DR Pepper Classic,3.71,0.139,Bought for family gathering.,1,1
2020-09-26,Young adults,Diet DR Pepper,3.46,0.133,Perfect for parties.,3,1
2018-04-04,Teens,DR Pepper Classic,3.81,0.121,Perfect for parties.,2,2
2020-07-11,Young adults,DR Pepper Classic,4.28,0.261,Enjoyed with lunch.,1,1
2023-03-25,Young adults,Diet DR Pepper,3.66,0.213,"Loved the taste, will buy again.",3,1
2021-04-26,Middle-aged,DR Pepper Classic,2.51,0.182,Not satisfied with carbonation.,1,1
2024-12-28,Young adults,DR Pepper Classic,3.92,0.14,Not satisfied with carbonation.,1,1
2024-06-17,Seniors,DR Pepper Classic,3.08,0.145,Enjoyed with lunch.,1,1
2023-02-23,Young adults,DR Pepper Classic,3.22,0.226,Prefer sugar-free.,1,1
2022-12-10,Middle-aged,Cherry DR Pepper,4.19,0.261,Too sweet for me.,1,1
2021-03-04,Young adults,Cherry DR Pepper,2.77,0.156,"Loved the taste, will buy again.",1,1
2021-01-30,Middle-aged,DR Pepper Classic,4.36,0.209,Perfect for parties.,1,1
2018-12-24,Seniors,Cherry DR Pepper,4.11,0.162,Not satisfied with carbonation.,1,1
2018-05-22,Teens,DR Pepper Classic,3.67,0.188,"Loved the taste, will buy again.",2,2
2022-11-30,Young adults,Cherry DR Pepper,4.12,0.147,Great value for money.,1,1
2024-01-28,Teens,DR Pepper Classic,4.07,0.179,Not satisfied with carbonation.,2,2
2023-08-22,Middle-aged,DR Pepper Classic,3.61,0.16,Great value for money.,1,1
2020-12-14,Middle-aged,Cherry DR Pepper,4.09,0.228,Packaging was damaged.,1,1
2019-05-17,Young adults,DR Pepper Classic,3.01,0.154,Not satisfied with carbonation.,1,1
2020-09-07,Young adults,DR Pepper Classic,3.91,0.171,Perfect for parties.,1,1
2023-06-02,Young adults,DR Pepper Classic,3.8,0.161,Not satisfied with carbonation.,1,1
2020-06-04,Young adults,DR Pepper Classic,4.22,0.239,Great value for money.,1,1
2019-08-26,Young adults,DR Pepper Classic,3.59,0.21,Okay but not my favorite.,1,1
2018-11-21,Teens,DR Pepper Classic,3.65,0.138,"Loved the taste, will buy again.",2,2
2023-05-19,Young adults,Diet DR Pepper,2.74,0.155,Not satisfied with carbonation.,3,1
2022-09-19,Seniors,Cherry DR Pepper,3.7,0.209,"Loved the taste, will buy again.",1,1
2024-12-19,Young adults,DR Pepper Classic,3.81,0.078,Enjoyed with lunch.,1,1
2018-11-12,Young adults,DR Pepper Classic,3.85,0.194,Too sweet for me.,1,1
2022-09-21,Young adults,DR Pepper Classic,4.36,0.151,Prefer sugar-free.,1,1
2023-01-08,Seniors,DR Pepper Classic,3.73,0.238,Packaging was damaged.,1,1
2018-06-21,Middle-aged,DR Pepper Classic,3.45,0.282,Bought for family gathering.,1,1
2021-11-14,Young adults,Diet DR Pepper,3.48,0.181,"Loved the taste, will buy again.",3,1
2019-08-04,Middle-aged,DR Pepper Classic,3.22,0.189,Enjoyed with lunch.,1,1
2021-07-25,Middle-aged,DR Pepper Classic,4.16,0.202,Not satisfied with carbonation.,1,1
2021-09-06,Seniors,DR Pepper Classic,3.15,0.151,Packaging was damaged.,1,1
2018-03-25,Middle-aged,Cherry DR Pepper,3.5,0.176,Perfect for parties.,1,1
2023-11-06,Teens,Cherry DR Pepper,3.16,0.157,Bought for family gathering.,2,2
2021-03-17,Young adults,Diet DR Pepper,3.24,0.199,Bought for family gathering.,3,1
2023-01-13,Middle-aged,DR Pepper Classic,3.82,0.204,Bought for family gathering.,1,1
2020-08-01,Seniors,DR Pepper Classic,4.33,0.179,Too sweet for me.,1,1
2020-01-03,Teens,DR Pepper Classic,3.47,0.131,Not satisfied with carbonation.,2,2
2022-11-22,Young adults,DR Pepper Classic,3.39,0.152,Perfect for parties.,1,1
2024-07-03,Young adults,Cherry DR Pepper,2.37,0.152,Enjoyed with lunch.,1,0
2018-04-08,Young adults,DR Pepper Classic,3.61,0.203,Okay but not my favorite.,1,1
2018-08-02,Young adults,Cherry DR Pepper,3.71,0.182,Too sweet for me.,1,1
2020-03-17,Young adults,DR Pepper Classic,3.51,0.186,Packaging was damaged.,1,1
2018-11-07,Seniors,Cherry DR Pepper,4.45,0.18,Prefer sugar-free.,1,1
2022-10-27,Middle-aged,Cherry DR Pepper,3.97,0.198,Too sweet for me.,1,1
2021-10-27,Middle-aged,Cherry DR Pepper,3.49,0.203,Great value for money.,1,1
2022-02-10,Young adults,DR Pepper Zero Sugar,2.55,0.219,"Loved the taste, will buy again.",0,0
2024-02-09,Middle-aged,DR Pepper Classic,2.92,0.223,Bought for family gathering.,1,1
2024-02-24,Teens,Cherry DR Pepper,3.48,0.145,Perfect for parties.,2,2
2023-06-06,Teens,DR Pepper Classic,3.69,0.136,"Loved the taste, will buy again.",2,2
2021-09-18,Seniors,DR Pepper Classic,2.45,0.201,Packaging was damaged.,1,1
2024-09-23,Young adults,Cherry DR Pepper,3.63,0.19,Perfect for parties.,1,1
2018-12-23,Teens,DR Pepper Classic,3.9,0.141,Packaging was damaged.,2,2
2020-05-05,Seniors,DR Pepper Zero Sugar,2.48,0.131,"Loved the taste, will buy again.",0,3
2021-04-13,Seniors,Diet DR Pepper,3.11,0.221,Great value for money.,3,1
2019-10-05,Middle-aged,DR Pepper Classic,3.0,0.166,"Loved the taste, will buy again.",1,1
2020-08-22,Young adults,DR Pepper Zero Sugar,1.65,0.189,"Loved the taste, will buy again.",0,0
2019-10-01,Young adults,DR Pepper Zero Sugar,2.6,0.235,Packaging was damaged.,0,0
2021-11-22,Young adults,Cherry DR Pepper,3.17,0.17,Packaging was damaged.,1,1
2024-04-30,Young adults,DR Pepper Classic,3.89,0.179,Okay but not my favorite.,1,1
2022-02-23,Seniors,DR Pepper Classic,3.74,0.196,Too sweet for me.,1,1
2019-06-11,Seniors,DR Pepper Zero Sugar,2.48,0.134,Not satisfied with carbonation.,0,3
2018-12-31,Seniors,DR Pepper Classic,4.15,0.12,Great value for money.,1,1
2018-01-09,Teens,DR Pepper Classic,3.86,0.139,Perfect for parties.,2,2
2018-04-23,Middle-aged,DR Pepper Classic,3.37,0.202,Perfect for parties.,1,1
2024-11-27,Middle-aged,DR Pepper Classic,3.67,0.202,Perfect for parties.,1,1
2019-04-24,Young adults,Cherry DR Pepper,3.23,0.223,Not satisfied with carbonation.,1,1
2021-04-16,Young adults,DR Pepper Classic,2.27,0.152,"Loved the taste, will buy again.",1,1
2020-04-27,Middle-aged,DR Pepper Classic,3.55,0.196,Packaging was damaged.,1,1
2024-12-04,Teens,DR Pepper Classic,2.82,0.195,Packaging was damaged.,2,2
2022-07-28,Seniors,DR Pepper Classic,3.39,0.162,"Loved the taste, will buy again.",1,1
2024-10-11,Teens,Diet DR Pepper,3.41,0.21,"Loved the taste, will buy again.",3,2
2024-02-11,Young adults,Diet DR Pepper,2.23,0.173,Not satisfied with carbonation.,3,1
2023-01-15,Seniors,Cherry DR Pepper,3.8,0.149,Enjoyed with lunch.,1,1
2019-12-17,Seniors,DR Pepper Classic,3.91,0.169,Packaging was damaged.,1,1
2019-08-04,Middle-aged,Cherry DR Pepper,2.66,0.208,Bought for family gathering.,1,1
2019-01-11,Middle-aged,Cherry DR Pepper,4.05,0.188,Okay but not my favorite.,1,1
2019-03-22,Seniors,DR Pepper Classic,4.45,0.182,Too sweet for me.,1,1
2020-11-01,Seniors,DR Pepper Zero Sugar,2.87,0.166,Great value for money.,0,3
2021-05-05,Middle-aged,Diet DR Pepper,3.57,0.238,Enjoyed with lunch.,3,1
2020-05-21,Middle-aged,DR Pepper Classic,3.0,0.215,"Loved the taste, will buy again.",1,1
2019-04-30,Young adults,DR Pepper Zero Sugar,3.46,0.18,Prefer sugar-free.,0,0
2024-07-11,Young adults,DR Pepper Zero Sugar,3.26,0.171,Perfect for parties.,0,0
2021-09-14,Middle-aged,DR Pepper Classic,3.61,0.224,Not satisfied with carbonation.,1,1
2019-11-08,Middle-aged,DR Pepper Classic,3.58,0.201,Prefer sugar-free.,1,1
2022-03-17,Middle-aged,DR Pepper Classic,3.7,0.186,Prefer sugar-free.,1,1
2022-09-07,Teens,DR Pepper Zero Sugar,2.97,0.128,Not satisfied with carbonation.,2,3
2021-03-06,Young adults,DR Pepper Classic,3.01,0.201,Prefer sugar-free.,1,1
2024-05-10,Young adults,Cherry DR Pepper,3.63,0.166,Okay but not my favorite.,1,1
2021-10-13,Young adults,DR Pepper Zero Sugar,2.98,0.171,Bought for family gathering.,0,0
2022-09-04,Middle-aged,Diet DR Pepper,2.61,0.217,Enjoyed with lunch.,3,1
2018-08-19,Middle-aged,DR Pepper Classic,3.44,0.232,Perfect for parties.,1,1
2024-03-28,Teens,DR Pepper Classic,3.47,0.168,Okay but not my favorite.,2,2
2023-07-25,Teens,DR Pepper Classic,3.24,0.176,Perfect for parties.,2,2
2018-04-22,Seniors,DR Pepper Zero Sugar,3.18,0.191,Packaging was damaged.,0,3
2020-07-21,Seniors,DR Pepper Classic,3.79,0.17,Okay but not my favorite.,1,1
2022-12-17,Teens,DR Pepper Classic,3.17,0.162,Packaging was damaged.,2,2
2021-10-04,Young adults,DR Pepper Zero Sugar,3.07,0.235,Packaging was damaged.,0,0
2020-11-25,Teens,DR Pepper Classic,3.95,0.144,Prefer sugar-free.,2,2
2021-05-16,Middle-aged,Cherry DR Pepper,3.19,0.167,Enjoyed with lunch.,1,1
2018-01-04,Middle-aged,Diet DR Pepper,2.37,0.124,Packaging was damaged.,3,1
2021-02-17,Young adults,DR Pepper Classic,3.03,0.238,Enjoyed with lunch.,1,1
2023-11-27,Middle-aged,Cherry DR Pepper,3.96,0.259,Too sweet for me.,1,1
2022-04-02,Young adults,DR Pepper Classic,3.27,0.15,Too sweet for me.,1,1
2022-10-29,Young adults,DR Pepper Zero Sugar,2.38,0.219,Perfect for parties.,0,0
2022-09-17,Middle-aged,Cherry DR Pepper,4.33,0.231,Great value for money.,1,1
2020-01-09,Middle-aged,DR Pepper Classic,2.91,0.219,Perfect for parties.,1,1
2023-09-28,Middle-aged,Cherry DR Pepper,3.61,0.215,"Loved the taste, will buy again.",1,1
2021-02-06,Seniors,DR Pepper Classic,3.87,0.148,Great value for money.,1,1
2024-12-02,Middle-aged,Diet DR Pepper,3.54,0.204,Okay but not my favorite.,3,1
2022-09-13,Teens,DR Pepper Classic,3.71,0.16,Enjoyed with lunch.,2,2
2019-06-06,Teens,DR Pepper Classic,3.17,0.152,"Loved the taste, will buy again.",2,2
2024-08-20,Middle-aged,DR Pepper Classic,3.78,0.198,Enjoyed with lunch.,1,1
2021-02-20,Teens,Cherry DR Pepper,3.71,0.189,Perfect for parties.,2,2
2019-09-27,Young adults,DR Pepper Zero Sugar,3.2,0.21,Enjoyed with lunch.,0,0
2019-10-11,Teens,Diet DR Pepper,3.89,0.176,Great value for money.,3,2
2021-03-18,Seniors,DR Pepper Zero Sugar,2.4,0.198,Prefer sugar-free.,0,3
2020-10-21,Young adults,DR Pepper Classic,3.69,0.187,Okay but not my favorite.,1,1
2019-12-24,Teens,Cherry DR Pepper,3.77,0.185,Packaging was damaged.,2,2
2019-01-02,Seniors,DR Pepper Classic,3.97,0.134,Enjoyed with lunch.,1,1
2024-01-03,Middle-aged,DR Pepper Classic,4.39,0.202,Enjoyed with lunch.,1,1
2023-04-15,Teens,DR Pepper Classic,4.37,0.171,Too sweet for me.,2,2
2024-03-29,Middle-aged,DR Pepper Classic,3.92,0.216,Great value for money.,1,1
2019-09-11,Teens,DR Pepper Classic,3.2,0.161,Too sweet for me.,2,2
2024-11-21,Middle-aged,DR Pepper Classic,3.29,0.228,Great value for money.,1,1
2018-07-31,Middle-aged,DR Pepper Classic,3.86,0.243,Prefer sugar-free.,1,1
2018-09-22,Teens,DR Pepper Zero Sugar,2.36,0.118,Okay but not my favorite.,2,3
2021-07-05,Middle-aged,DR Pepper Classic,3.38,0.209,Packaging was damaged.,1,1
2019-09-17,Young adults,DR Pepper Zero Sugar,2.63,0.158,Okay but not my favorite.,0,0
2022-07-26,Middle-aged,DR Pepper Classic,2.91,0.232,Packaging was damaged.,1,1
2022-12-09,Middle-aged,Diet DR Pepper,3.32,0.222,Prefer sugar-free.,3,1
2021-05-19,Young adults,DR Pepper Classic,3.89,0.151,Okay but not my favorite.,1,1
2020-10-13,Young adults,Diet DR Pepper,3.5,0.18,Bought for family gathering.,3,1
2021-01-11,Seniors,DR Pepper Zero Sugar,3.06,0.125,Packaging was damaged.,0,3
2020-02-01,Young adults,Cherry DR Pepper,3.52,0.208,Prefer sugar-free.,1,1
2018-12-15,Young adults,DR Pepper Classic,3.24,0.164,Prefer sugar-free.,1,1
2024-05-31,Young adults,DR Pepper Classic,3.94,0.146,Too sweet for me.,1,1
2024-02-14,Young adults,Diet DR Pepper,2.94,0.17,Perfect for parties.,3,1
2020-06-14,Young adults,DR Pepper Classic,3.23,0.198,Prefer sugar-free.,1,1
2023-05-06,Young adults,DR Pepper Classic,3.71,0.189,Not satisfied with carbonation.,1,1
2018-11-27,Young adults,Diet DR Pepper,2.71,0.165,"Loved the taste, will buy again.",3,1
2023-09-20,Middle-aged,DR Pepper Classic,3.54,0.197,Enjoyed with lunch.,1,1
2023-06-27,Teens,DR Pepper Classic,3.24,0.141,Great value for money.,2,2
2022-06-12,Young adults,DR Pepper Zero Sugar,2.66,0.152,Not satisfied with carbonation.,0,0
2020-07-11,Middle-aged,DR Pepper Zero Sugar,2.88,0.144,Not satisfied with carbonation.,0,3
2022-02-27,Teens,Cherry DR Pepper,4.08,0.15,Enjoyed with lunch.,2,2
2021-08-25,Middle-aged,Diet DR Pepper,3.29,0.218,Okay but not my favorite.,3,1
2020-10-14,Young adults,DR Pepper Classic,3.65,0.18,Okay but not my favorite.,1,1
2024-04-05,Seniors,Cherry DR Pepper,4.08,0.231,Bought for family gathering.,1,1
2018-01-05,Seniors,DR Pepper Classic,3.81,0.152,Not satisfied with carbonation.,1,1
2024-06-23,Middle-aged,Cherry DR Pepper,3.61,0.199,Not satisfied with carbonation.,1,1
2019-11-02,Young adults,DR Pepper Classic,3.78,0.195,Prefer sugar-free.,1,1
2018-02-16,Seniors,DR Pepper Zero Sugar,2.92,0.183,Not satisfied with carbonation.,0,3
2021-08-09,Seniors,DR Pepper Classic,3.72,0.162,Perfect for parties.,1,1
2020-11-15,Young adults,DR Pepper Zero Sugar,3.52,0.178,Enjoyed with lunch.,0,0
